explanation,text
Rape by an acquaintance during a social engagement. ,Date rape
The bottom of the sea; the mythical resting place of drowned mariners.,Davy Jones' locker
Unfair overcharging which is so blatant the perpetrators make no attempt to conceal it.,Daylight robbery
Unambiguously and unequivocally dead.,Dead as a dodo
"To be 'as dead as a doornail' is to be utterly dead,  devoid of life (when applied to people, plants or animals) or finished with, unusable (when applied to inanimate objects). ",Dead as a doornail
A dead cat bounce is a small and temporary recovery in a financial market following a large fall. ,Dead cat bounce
A dead in the water ship is one that is motionless and without power. The figurative expression 'dead in the water' means 'unable to function; without hope of future  success;  doomed'.,Dead in the water
"An
exact duplicate.",Dead ringer
A false and exaggerated belief about one's status or importance. ,Delusions of grandeur
Heroic daring. ,Derring-do
"A short growth of beard, aimed to affect a rugged masculine or deliberately unkempt appearance.",Designer stubble
"Something or someone that comes in the nick of time to solve a difficulty, especially in works of fiction.",Deus ex machina
"In difficulty, faced with two dangerous alternatives.",Devil and the deep blue sea 
The Devil in human form. ,Devil Incarnate - The 
A proverbial phrase indicating that those who lag behind will receive no aid.,Devil take the hindmost - The 
'The devil to pay' means serious trouble because of a particular circumstance or obligation. ,Devil to pay - The 
"Figuratively, one who takes a contrary position for the sake of testing an argument, or just to be perverse.",Devil's advocate
Someone who is basically good hearted but lacking social graces and respect for the law.,Diamond in the rough
"Advertising
  slogan for De Beers' diamonds.",Diamond is forever - A
Not a sound; not an utterance.,Dicky-bird - Not a
"A person who holds stubbornly to a minority view, in defiance of the circumstances.",Die-hard
"'The die has been cast' means that an
irrevocable choice has been made.",Die has been cast - The 
Two things that are  very different from each other. ,(As)  different as chalk and cheese
'A different kettle of fish' is an alternative to what has been previously considered; a different thing altogether.,Different kettle of fish
To be 'differently abled' is to be physically or mentally handicapped or disabled but to show qualities that the able-bodied do not have. The expression is intended to avoid the perceived negative connotations of the prefix 'dis' in disabled.,Differently abled
To 'dilly-dally' is to be indecisive; vacillating and making no advance.,Dilly-dally 
"Originally a bag or sack with dirt in it. More recently a reference to an unkempt or slovenly person, often used as an insult.",Dirt bag
A dish fit for the gods is an offering of high quality. ,Dish fit for the gods - A 
Literal meaning.,Do unto others as you would have them do to you
Make a deduction from a person's pay.,Dock your pay
Someone might be said not to know shit from Shinola if they display poor judgment or knowledge. ,Doesn't know **** from Shinola
To doff your hat is to raise your hat in acknowledgement of or deference to another.,Doff your hat
The 'dog days' are the very hot days during July and August.,Dog days
"To have a dog in the manger attitude is to be spiteful
  and mean-spirited.",Dog in the manger
"An animal that performs valuable service to humans, often with reference to dogs. ",(A) Dog is a man's best friend
Excellent - the absolute apex. In other contexts the word bollocks (meaning testicles) has a negative connotation; for example:,Dog's b*******
A confused mess or muddle.,Dog's breakfast
The expression 'dog's dinner' has several meanings:,Dog's dinner
In low spirits; feeling dull and drowsy.,Doldrums - in the 
An outcome that is almost assured; a certainty.,Dollars to doughnuts
Left in a hurry. ,Done a runner
Cooked just right. ,Done to a turn
A very long time. ,Donkey's years
Don't bother to pursue your application further.,"Don't call us, we'll call you"
Items of quality offered to those who aren't cultured enough to appreciate them.,Don't cast your pearls before swine
Don't change your leader or your basic position when part-way through a campaign or a project .,Don't change horses in midstream
Don't be hasty in evaluating one's assets.,Don't count your chickens before they are hatched
NO INFORMATION,Don't die like I did
"The proverbial saying 'don't get mad, get even' means that, when suffering a loss at the hands of another, don't waste your energy on anger but work towards redressing the harm done.","Don't get mad, get even"
"To get your knickers in a twist it to become unduly agitated or angry. It is almost always expressed as the negative 'don't get your knickers in a twist', used when trying to point out someone's overreaction. ",Don't get your knickers in a twist
I don't want to discuss that.,Don't go there
Without any knowledge or understanding. ,Don't have a clue
The proverbial saying 'don't keep a dog and bark yourself' is advice that you should not  pay someone to do a task and then do it yourself.,Don't keep a dog and bark yourself
Someone might be said not to know shit from Shinola if they display poor judgment or knowledge. ,Don't know **** from Shinola
The meaning of this proverbial saying is self evident. ,Don't let the bastards grind you down
"To let the cat out of the bag is to disclose a secret, either deliberately or inadvertently.",Don't let the cat out of the bag 
The proverbial saying 'don't let the grass grow under your feet' means don't delay in seizing an opportunity.,Don't let the grass grow under your feet
The proverbial saying 'don't look a gift horse in the mouth' means don't be ungrateful when you receive a gift.,Don't look a gift horse in the mouth
Don't waste time taking precautions when the damage has already been done.,Don't shut the stable door after the horse has bolted
"You 'throw good money after bad' when, following the loss of some money, you to incur a further loss in trying to make good.",Don't throw good money after bad
Don't discard something valuable along with something undesirable.,Don't throw the baby out with the bathwater
Don't offer advice to someone who has more experience than oneself.,Don't try to teach your Grandma to suck eggs
"The proverbial saying 'Don't wash your dirty linen in public' advises us to avoid making personal matters, which those involved may consider private or embarassing, public.",Don't wash your dirty linen in public
"A feeling of pessimism and despondency, often with regard to business or political prospects. ",Doom and gloom
"An act of treachery, perpetrated on a previous partner in a deceit.",Double cross
"From Shakespeare's Macbeth, 1605.","Double, double toil and trouble, fire burn, and cauldron bubble"
Nonsense; gibberish - a language one cannot understand.,Double Dutch
A figure of speech in which a phrase can be understood in two ways - one of them risquÃ©. Commonly used  to convey sexual puns.,Double entendre
A double standard is a rule which is applied more strictly to one group than to another. ,Double standard
A double blow or setback.,Double whammy
Impoverished. ,Down at heel
Unhappy; depressed.,Down in the dumps
Referring to the decisive moment at the very end of a close contest.,Down to the wire
If something has gone 'down the pan' it is wasted and unrecoverable. ,Down the pan
Wasted and unrecoverable. ,Down the tubes
A race between road vehicles - usually two vehicles over a quarter mile straight track and from a standing start. The race is essentially a competition to determine which vehicle has the greater acceleration. ,Drag race
Said to someone who is unkempt and whose hair needs brushing.,Dragged through a hedge backwards
To fail to recall a memory or fail in some speculative effort.,Draw a blank
Restrain one's ardour; lower one's ambitions.,Draw your horns in
The aimless longing for glory. ,Dreams of empire
To be 'dressed to the nines' is to be dressed flamboyantly or smartly.,Dressed to the nines
"To 'drink like a fish' is to drink heavily, especially of alcoholic drink.",Drink like a fish
An ironic name for the non-existent crime of being a black driver.,Driving while black
Breathtakingly beautiful.,Drop-dead gorgeous
A drop in the bucket is a very small and insignificant proportion of the whole.,Drop in the bucket - A 
Falling down ill or dead in large numbers.,Dropping like flies
"To be drummed out of the army is to be dismissed from  service to the sound of a drum. More widely, 'drummed out' just means removed from office.",Drummed out of the army
To play ducks and drakes is to behave recklessly; to idly squander one's wealth. ,Ducks and drakes
A conspicuously attractive but stupid blonde woman.,Dumb blonde
"A
 f'dust-up' is a ifght.",Dust up
An affectionate term for wife.,Dutch - My old 
Confidence gained from being drunk.,Dutch courage
A duvet day is a paid day's work in which the employee is allowed to stay at home for rest and relaxation.,Duvet day
Music with an instant appeal but with little lasting significance.,Ear candy
Success comes to those who prepare well and put in effort. ,Early bird catches the worm - The 
Literal meaning.,"Early to bed and early to rise makes a man healthy, wealthy and wise"
To set aside for a particular purpose.,Ear-mark
"This proverbial saying express the idea that, wherever you travel in the world, your home is the best place to be.","East, west, home's best"
Very easy.,Easy as pie
"Easy-peasy means very easy and simple, mostly used by children and sometimes elongated to 'easy-peasy lemon squeezy'.",Easy-peasy
"From the Bible, Ecclesiastes VIII 15 (King James Version):",Eat drink and be merry
"Act submissively and apologetically, especially in admitting an error.",Eat humble pie
"A display of confidence in a particular outcome; for example, 'She's always late. If she gets that train I'll eat my hat'.",Eat my hat
"This is one of the phrases that, while having been long attributed to Shakespeare, was in fact used earlier by others and has now been demoted to 'popularised by' rather than 'coined by' the bard. ",Eaten out of house and home
"Conveying an untrue version of events by leaving out the important facts. A euphemism for lying, in short. ",Economical with the truth
The first line of a popular children's counting rhyme.,"Eeny, meeny, miny, mo"
To egg someone on is to encourage them and urge them forward.,Egg on
This little term originally meant that a restaurant had run out of an item that was on the menu.,Eighty six
Energetic labour.,Elbow-grease
"The supposed explanation that Sherlock Holmes gave to his assistant, Dr. Watson, when explaining deductions he had made.",Elementary my dear Watson
"An important and obvious topic, which everyone present is aware of, but which isn't discussed, as such discussion is considered to be uncomfortable. ",Elephant in the room
The expression 'Elvis has left the building' was originally a literal announcement that Elvis Presely had left after a show. It later took on a more general meaning of 'the show is over; there's nothing more to see'.,Elvis has left the building
The label given to any fictional item that viewers have been induced into believing as real.,Emperor's new clothes
The talking is over - there's no more to be said. ,End of story
The furthest reaches of the land. ,Ends of the earth  - The
To get Enough is enough is to come off worst in a bargain or contest.,Enough is as good as a feast
To get Enough is enough is to come off worst in a bargain or contest.,Enough is enough
The English dictum that a man's home is his refuge. ,Englishman's home is his castle
NO INFORMATION,Eponymous Phrases
"""Et tu Brute"" are supposedly the dying words of Julius Caesar. They translate from Latin as 'You too, Brutus?'.","Et tu, Brute"
The expression 'ethnic cleansing' is a  euphemism for the ruthless removal or killing of an ethnic or religious group from areas that have been taken over by opposing forces. ,Ethnic cleansing
"English has a wealth of euphemisms. They are coded expressions that we use when whatever we are referring to is considered inappropriate for the circumstances or when we are embarrassed or uncomfortable with the literal version. As one might expect, many euphemisms relate to death or to what a true euphemist would refer to as 'the trouser region'. ",Euphemisms
"The 'turning of the tide' is literally the change of the tide from incoming to outgoing, or vice-versa. Normally the phrase is used to denote some change from a previously stable course of events.",Even at the turning of the tide
"The proverbial saying 'every cloud has a silver lining' is used to convey the notion that, no matter how bad a situation might seem, there is always  some good aspect to it. ",Every cloud has a silver lining
An injunction to workers to 'down tools' come out on strike.,Everybody out
To be 'well read' is to be erudite and literate. ,Exceedingly well read
"Normally with these meanings and origins the meaning is well-understood or self-evident and the interesting aspect is how, where and when the phrase originated. This one is a little different - it's the meaning that is generally not understood. ", Exception that proves the rule - The 
A misheard lyric.,Excuse me while I kiss this guy
Please forgive my swearing. ,Excuse my French
"A procedure whereby criminal suspects are sent for interrogation from one country to a second country, where less strict laws governing interrogation apply. ",Extraordinary rendition
Music with an instant appeal but with little lasting significance.,Eye candy - see ear candy
"The proverb 'an eye for an eye, a tooth for a tooth' expresses the notion that for every wrong done there should be a compensating measure of justice.","(An) eye for an eye, a tooth for a tooth"
The archetypal recipe for spells and enchantments.,"Eye of newt and toe of frog, wool of bat and tongue of dog"
"A reference to the mythological figure Helen of Troy (or some would say, to Aphrodite). Her abduction by Paris was said to be the reason for a fleet of a thousand ships to be launched into battle, initiating the Trojan Wars.",Face that launched a thousand ships - The 
Face the music means accept the unpleasant consequences of one's actions.,Face the music
Dither ineffectually.,Faff about
Literal meaning .,Failing to plan is planning to fail
Having one's intentions divided; not fully committed; lacking zeal or courage.,Faint-hearted
"Honest and straightforward, especially of business dealings.",Fair and square
Honest; genuine; fair play.,Fair dinkum
An exchange of two things of equal value is a reasonable and honest trade.,Fair exchange is no robbery
"'Fair play' is the properly conducted conditions for a game, giving all participants an equal chance. The expression is also used more widely to mean fairness and justice in contexts other than games. ",Fair play
Slightly above average.,Fair to middling
"A perfect, joyful and  simplistic ending  to a story, like those often found in fairy tales.",Fairy-tale ending
An accomplished fact; an action which is completed before those affected by it are in a position to query or reverse it.,Fait accompli 
Faith is immensely powerful. ,Faith will move mountains
To fall from position of high esteem. ,Fall from grace
"A scapegoat; one who takes on the responsibilities or workload of others. Here 'fall' is used with the criminal slang meaning of 'arrest' or 'period in prison'. More recently, it has also come to mean a person who is easily duped or outmanoeuvred. ",Fall guy
A euphemism for 'acquired illegally'.,Fall off the back of a lorry
"To 'fall on your sword' is, literally, to commit suicide or, figuratively, to offer your resignation. ",Fall on your sword
The proverbial saying 'familiarity breeds contempt' express the idea that a close long-term relationship with a person or situation brings about feelings of boredom or lack of respect.,Familiarity breeds contempt 
"This is a well-known as a quotation from Andy Warhol. It does derive from Warhol - his actual line was ""In the future everybody will be world famous for fifteen minutes."".",Famous for fifteen minutes
NO INFORMATION,Famous last words (dying statements of famous people - a list) 
"'Famous last words' might be used ironically when a remark or prediction  is likely to be proved wrong by events. No one is suggesting that  death might be the result, merely a mild inconvenience. For example:",Famous last words (the ironic phrase) 
To be 'fancy free' is to be without any ties or commitments. ,Fancy free
"Overly elaborate, swanky or pretentious - especially of dress. Also applied to people who act in that manner. ",Fancy pants
Nothing.,Fanny Adams - Sweet 
A disassociation from something - 'God forbid that I should... ' [do that thing].,Far be it from me
A quiet and rural place. ,Far from the madding crowd
Haemorrhoids. Haemorrhoids -> piles -> Farmer Giles -> Farmers. ,Farmers
Someone who slavishly follows fashion trends.,Fashion victim
Stable and firmly fixed in  place; not easily moved. ,"The word fast, and phrases that derive from it."
Be inconstant and unreliable.,Fast and loose
Soundly asleep.,Fast asleep
To ascertain something; to deduce from the facts.,Fathom out
Living well; fed by abundant crops. ,(The) fat of the land
"Any misfortune that would make life unlivable, especially rape
 or loss of virginity. The phrase was formerly a euphemism for rape. ",Fate worse than death - A 
A symbol of honour and achievement.,Feather in one's cap - A 
"To  have had more than enough of something or someone, or to be  bored with or tired of the same.",Fed up
An aggressive attack on prey by a group of sharks or other predators. The resulting boiling and bloody sea results in the sharks wildly attacking any creature nearby - even their own kind.,Feeding frenzy
A euphemism for 'acquired illegally'.,(It) fell off the back of a truck
'At one fell swoop' means 'suddenly; in a single action'.,Fell swoop - At one
"Someone
 sympathetic toward a certain point of view without being a fully paid-up member
 of the club.",Fellow traveller
See also: the List of Proverbs.,Female of the species is more deadly then the male - The
"To  'fend for yourself' is to provide for yourself - to be able to cope with whatever life throws at you. The expression is usually applied to youngsters, animal or human, who have previously been taken care of by their parents.",Fend for yourself
To  'fend off' is to resist; to keep (someone or something) from coming near.,Fend off
"An exclamation made to indicate ""nonsense; rubbish"".",Fiddlesticks
To occupy oneself with unimportant matters and neglect priorities during a crisis.,Fiddling while Rome burns
"A nonsense rhyme, usually heard as part of the Jack The Giant Killer fable.","Fie, foh, fum, I smell the blood of an Englishman"
A day of excitement or a circumstance of opportunity.,Field day
"This is a well-known as a quotation from Andy Warhol. It does derive from Warhol - his actual line was ""In the future everybody will be world famous for fifteen minutes."".",Fifteen minutes of fame
Infiltrators or collaborators with the enemy. ,Fifth column
Respond to an attack by using a similar method as one's attacker.,Fight fire with fire
An evangelical call to believe in and spread the Christian faith.,Fight the good fight
"Very rich, possibly having become so by unfair means.",Filthy rich
"The so-called law is usually expressed as 'If anything can go wrong, it will'.",Finagle's Law
"Extremely fine, that is, delicate and slender.",Fine as frog's hair
The proverb 'Fine words butter no parsnips' means that nothing concrete is achieved by empty words or flattery.,Fine words butter no parsnips
Excellent - especially of food. Known primarily as the slogan of the KFC food chain.,Finger lickin good
"Clumsy, unable to hold things steadily in one's hands. 'All fingers and thumbs' is how we might describe ourselves during a temporary loss of manual dexterity. ",Fingers and thumbs
"'First dibs' is an exclamation that is used, primarily by children but also by adults, to establish a claim on something. The first person to call out 'dibs' or 'first dibs' has the option on the first use or the ownership of the item claimed.",First dibs
Of the highest quality. ,First water
"Originally the term referred just to the USA
 (see origin below), but now is understood to mean the most industrially
 developed, wealthy and powerful nations of the world. These
 countries are often referred to loosely as 'The West', although
 the First World certainly includes Japan and Australia.",First World
"When an organization or state fails, it is the leadership that is the root cause.",Fish rot from the head down 
"There is some uncertainty about the precise meaning of this phrase. Some use it to mean 'make a choice about what you intend to do'; others have it that it means 'either get to work in a productive manner or do something else and let someone else work'. The second meaning, which I favour, and which is more common, is similar in meaning to 'put up or shut up', or the 20th century US vulgarism 's*** or get off the pot'.",Fish or cut bait
"Someone who is in a situation they are unsuited to.
",Fish out of water - A 
"To be as fit as a butcher's dog is to be very fit and bouncing with energy. This follows the same pattern as other 'as X as Y' similes, where Y is the the thing which typically displays the property X. For example, 'as cold as ice'.",As fit as a butcher's dog
To be 'as fit as a fiddle' is to be very fit and well.,Fit as a fiddle
Infiltrators or collaborators with the enemy. ,Fifth column
The fifth power in the land.,Fifth estate
Spasmodically; at irregular intervals.,Fits and starts
If something is said to fit 'to a T' it fits exactly; properly; precisely.  ,Fits to a tee
"Beard regrowth that darkens a man's features late in the day, following a morning shave.",Five o'clock shadow
A property or item that is in need of repair and is offered for sale at a low price.,Fixer-upper
"Something which disappoints by failing to deliver anything of value, despite a showy beginning.",Flash in the pan
Using all of one's efforts; at top speed.,Flat out
"Something that is prominent in the public eye for a short time then fades out of interest. Originally a term of approval for something that was up to the minute and desirable. It has been used ironically from the late 20th century to pass disdainful comment on things which pass out of fashion quickly; for example, the ""one hit wonders"" of the music business. ",Flavor of the month
"One's flesh and blood may refer to one's family, or may denote all mankind. It is also used to denote the living material of which people are mostly composed. ",Flesh and blood
To flog a dead horse is to attempt to revive an interest which has died out;  to engage in fruitless effort.,Flogging a dead horse
"The floozie (or floosie or floozy) in the jacuzzi is the nickname of the bronze statue, properly called Anna Livia, previously in O'Connell Street, Dublin, Ireland. It personifies the River Liffey, which passes nearby. ",Floozie in the jacuzzi - The 
"Ships' goods which are lost at sea. Also used figuratively in non-nautical contexts to means odds and ends, bits and pieces.",Flotsam and jetsam
"A 'fly-by-night' is someone who attempts to evade responsibilities or debts by absconding under cover of darkness. Typically, this may be covertly moving out pf a property to avoid paying the rent.",Fly by night
"To 'fly by the seat of your pants' is to decide a course of action as you go along, using your own initiative and perceptions rather than a predetermined plan or mechanical aids.",Fly by the seat of one's pants
A fly in the ointment is a small but irritating flaw that spoils the whole. In the 20th century the expression has also come to be used to describe a small flaw that comes to light to spoil  an otherwise faultless plan.,Fly in the ointment
Lose self control.,Fly off the handle
Alludes to the position of being able to freely observe a situation without being oneself noticed. ,Fly on the wall
Display furious rage.,Foam at the mouth
To put off deceitfully; to attempt to satisfy with   something of inferior quality or something less than one has been led to expect.,Fobbed off
"

People like to retell stories about the origin of some phrase or other. I get mail, phone calls, posts on Facebook. ",Folk Etymology - The Nonsense Nine 
Literal meaning.,Fool and his money are soon parted - A 
The rash or inexperienced will attempt things that wiser people are more cautious of. ,Fools rush in where angels fear to tread
A pointless undertaking. ,Fool's errand
"The name given to iron pyrites, which looks a little like gold but is worthless.",Fool's gold
A state of happiness based on false hope.,Fool's paradise - A
"An introduction or way in to something, made in order that progress may be made later. ",Foot in the door - A 
An exclamation of surprise.,Foot of our stairs - The
In effect; for all practical purposes.,For all intents and purposes
For Christ's sake.,For crying out loud
Indefinitely.,For ever and a day
There is an appropriate time for everything. ,For every thing there is a season
As an additional extra.,For good measure
"Play to keep the winnings. Also, more generally, especially in America, 'in deadly earnest; in such a way that the result will stand'.",For keeps
Trivial; worthless; only of interest to gullible people.,For the birds
"'For whom the bell tolls' is a quotation from a work by John Donne, in which he explores the interconnectedness of humanity.",For whom the bell tolls
A prohibited article. ,Forbidden fruit
"A foregone conclusion is a decision made before the evidence for or against it is known. Literally, it is a conclusion which is inevitable because the result has  been decided beforehand (or 'afore'). ",Foregone conclusion
Advance warning provides an advantage.,Forewarned is forearmed
"'Forgive them for they know not what they do' are reported as Jesus' words from the cross, asking forgiveness for those who put him to death. More widely, of course, the plea was for all humanity.",Forgive them for they know not what they do
"To 'fork out' is to  hand over a sum of money. The expression is often used when the payee is rather unwilling  to pay a large amount. For example, ""I had to fork out Â£200 to repair the scratch my daughter made on the car"".",Fork out
A hopeless or desperate enterprise.,Forlorn hope
"'Forty winks' is a short sleep during the day, often in non-typical sleep locations, like a train or an office desk. ",Forty winks
Dishonest or treacherous behaviour; also violent conduct.,Foul play
Jew. ,Four by two
All parts of the Earth. ,Four corners of the earth
Alluding to the alleged inherent weakness of character of women. ,"Frailty, thy name is woman"
The Georgian soldier and antiquarian    Francis Grose (1731-1791) wasn't cut from the usual cloth of which lexicographers are made. , Francis Grose - phrases first recorded by.
"If it's said to be 'cold enough to freeze the balls off a brass monkey' it is very
cold indeed. ",Freeze the balls off a brass monkey - cold enough to 
"A colloquial expression, used to denote icy weather. ",Freezing temperatures
"Here's a list of French phrases and sayings that are used in English often enough to have become part of the language. Many of these relate to those French preoccupations, fashion and food.",French phrases
"A faulty or sub-standard car. More widely, any poor effort. ",Friday afternoon car
There are various interpretations of the meaning of 'a friend in need is a friend indeed'.,Friend in need is a friend indeed - A 
This quotation from Julius Caesar is one of Shakespeare's best-known lines. Mark Antony asks for the attention of the assembled ctowd as he delivers a eulogy in honour of the recently murdered Julius Caesar: ,"Friends, Romans, Countrymen, lend me your ears"
Temporary hoarseness caused by phlegm in the back of the throat.,Frog in the throat - A
"Extremely fine, that is, delicate and slender.",Frog's hair- as fine as 
"From one place to another, haphazardly and to little purpose.",From pillar to post
From one coast to another.,From sea to shining sea
Progress from one success to another higher level of success.,From strength to strength
One's children. ,Fruits of your loins
A stuffy or foolishly old-fashioned person.,Fuddy-duddy
"Complete, the whole thing.",Full Monty - The 
"Rowdy, boisterous, full of youthful energy. ",Full of **** and vinegar
At top speed; with maximum energy.,Full tilt
Full to the brim; packed tight.,Full to the gunwales
Mental institution. ,Funny farm
"A derogatory term for a black person, especially one with fuzzy hair. ",Fuzzy wuzzy
An exclamation - a euphemistic shortening of God's hooks (the nails on the cross). ,Gad zooks (or gadzooks) 
"The phrase 'the game is afoot' means 'the process is underway'; for example, 'The teams are on the pitch - the whistle blows - the game is afoot.' ",Game is afoot - The 
The original meaning was 'the game is over - all is lost'. More recently it has come to be used to mean ' we have seen through your tricks - your deceit is exposed'.,Game is up - The 
Circumstances have changed suddenly. ,Game of two halves
"'Gee-up' is a command given to a horse, usually to encourage it to go forward or go faster. ",Gee-up
An interjection or exclamation of surprise.,Gee whiz
"The generation of people born between the 1950s and early 1970s, who were anarchic and directionless. ",Generation X
"Genius is largely the result of hard work, rather than an inspired flash of insight. ",Genius is one percent inspiration and 99 percent perspiration
Join a conversation in which another is speaking continually and leaving little opportunity for others. ,Get a word in edgeways
Engage with the basic facts or realities.,Get down to brass tacks
Use violence or extreme measures.,Get medieval
"Make
 a bad start to a project or relationship.",Get off on the wrong foot
A request to someone to stop behaving in a haughty and self-righteous manner. ,Get off your high horse
To get on someone's wick is to annoy them; get on their nerves. ,Get on my wick
Become agitated or angry.,Get one's dander up
Don't concern yourself with something that's already in the past; accept it and move on to more productive pursuits. ,Get over it
Become irritated or annoyed. ,Get the pip
Be dismissed from a job. ,Get the sack
Take a dominant position. ,Get the upper hand
Jesus's response when tempted by the Devil.,Get thee behind me Satan
Begin a journey or a project.,Get underway
Accept that a particular state of affairs is inevitable.,Get used to it
Become agitated or angry.,Get your dander up
Make you annoyed or angry.,Get your goat
An exclamation of surprise. ,Giddy aunt
Behave foolishly. ,Giddy goat
To apply unnecessary ornament - to over embellish.,Gild the lily
Remove an item's most attractive qualities. ,Gilt off the gingerbread
Drunk; by drinking gin or other alcoholic drink. Alternatively; enlivened. ,Ginned up 
"Ginger beer = queer, that is, homosexual. ",Ginger
To excite or enthuse.,Ginger up 
This proverbial saying  suggests that the ability to work is of greater benefit than a one-off handout.,Give a man a fish and you will feed him for a day
A goodly distance., Give a wide berth
"Show no mercy or concession; in its original usage, show no mercy for a vanquished opponent. ",Give no quarter
"Literally, pay the devil what you owe him. Used figuratively to mean 'give back what you owe', either money or favours. ",Give the Devil his due
"To
 die, or in the case of inanimate objects, to cease working. ",Give up the ghost
Someone might complain of some ailment 'giving them gyp' if it were causing them nagging ongoing pain. ,Giving me gyp
"The glass ceiling is an unacknowledged barrier to workplace advancement, usually in regard to women or minority groups. ",Glass ceiling
"A feeling of pessimism and despondency, often with regard to business or political prospects. ",Gloom and doom
"An insult, of the form go and do something bad for yourself. Other examples are, go and play in the traffic and the more recent, and vehement, eat s*** and die. ",Go and boil your head
To 'go berserk' is to behave in a frenzied and violent manner.,Go berserk
"Finished with, as in thrown overboard.",Go by the board
"Correctly; according to
the rules.",Go by the book
"Originally 'doolally tap', meaning unbalanced state of mind. ",Go Dolally
Any peripheral and pointless device which is added to a product to make it appear to perform better. ,Go-faster 
Something which has 'gone for a burton' is no longer functional - a reference to a person who had died or an item that was broken.,Go for a burton
"To go wrong, to become overly excited or deranged. ",Go haywire 
Go very fast; in a vigorous manner.,Go like the clappers
Speak or act prematurely.,Go off half-cocked
Put oneself in an isolated  position in one's support of someone or something.,Go out on a limb
"Fly into a violent rage, especially when provoked by workplace stress.",Go postal
Fail completely and be considered a flop by the public., Go over like a lead balloon
"'Go pound sand' is an American expression of disdain, along the same lines as 'get lost', 'go and play in the traffic', etc.",Go pound sand
To perform some act or adopt some opinion fully and thoroughly.,Go the whole hog
To be 'going to hell in a handbasket' is to be rapidly deteriorating - on course for disaster.,Go to hell in a handbasket
To go to pot is to become ruined; to go to pieces.,Go to pot
Become ruined.,Go to the dogs
An exclamation of surprise.,Go to the foot of our stairs
To go to the mattresses is to prepare for a battle or adopt a warlike stance. ,Go to the mattresses
"'Bless you!', or sometimes 'God bless you!' or 'God bless!', is a response often said when someone sneezes. ",God bless you! (after a sneeze)
"This quotation is widely attributed to Friedrich Nietzsche (1844-1900), who wrote in Die Frohliche Wissenschaft, 1882:",God is dead
"'God rest you (or ye) merry gentlemen' means 'Gentlemen, may god keep you in harmony and happiness'.","God rest ye merry, gentlemen"
Drat or doggone.,God rot them
Gidfrey Daniel is a euphemistic way of saying 'God damn them' without causing offence.,Godfrey Daniel
Something which has 'gone for a burton' is no longer functional - a reference to a person who had died or an item that was broken.,Going for a burton
"'A golden key opens any door' is the opinion that sufficient money, or the promise of it, will allow the possessor of it to do anything they wish.",Golden key can open any door - A 
"GOLF - Gentlemen only, ladies forbidden. The phrase that is sometimes supposed to be the origin of the word golf. ","GOLF - Gentlemen only, ladies forbidden"
Something which has 'gone for a burton' is no longer functional - a reference to a person who had died or an item that was broken.,Gone for a burton
Well-behaved and obedient.,Good as gold
A 'curate's egg' is a bad thing that is called good out of politeness or timidity.,Good in parts
"A modern-day proverb, bemoaning the difficulty of finding a suitable male partner. ",Good man is hard to find - A 
As an additional extra.,Good measure - For
"Dependable men, of rank and honour. The phrase was adapted later to 'twelve good men and true', indicating the twelve (originally all men, now both sexes) of a criminal jury. ",Good men and true
"You 'throw good money after bad' when, following the loss of some money, you to incur a further loss in trying to make good.",Good money after bad
An expression of pleasure on being rid of some annoyance - usually an individual.,Good riddance
Someone who helps another in need for compassionate motives and with no thought of reward.,Good Samaritan
"A literal meaning, advocating patience.",Good things come to those that wait
"'Goodnight Vienna' means 'it's all over', for example ""Jack stepped on the landmine and it was goodnight Vienna"". It is also used to refer to an implied coming conclusion which has become inevitable, for example  ""She winked and beckoned me towards her bedroom and I knew it was goodnight Vienna"".",Goodnight Vienna
A childish exclamation of delight.,"Goody, goody gumdrops"
"Someone who is virtuous in a coy, smug or sentimental manner.",Goody two-shoes
The expression 'Gordon Bennett!' is an exclamation of incredulous surprise.,Gordon Bennett
My magic charm is working.,Got my mojo working
"I too, like someone seen to have suffered misfortune, might have suffered a similar fate, but for God's mercy. ",Grace of God - There but for ... 
To take a statement with 'a grain of salt' (or 'a pinch of salt') means to accept it while maintaining a degree of scepticism about its truth.,(Take with a) grain of salt
"Winning all that's on offer in a sports competition,
 e.g. all the tricks in a game of bridge, or the all the major competitions in a sport in a single year - especially associated with tennis and golf. More generally, any all-out achievement.	",Grand slam
"A   grandfather clock is a colloquial name for the kind of weight-and-pendulum eight-day clock in a tall case, formerly in common use.",Grandfather clock
The abandonment of elderly relatives by their carers.,Granny dumping
To tackle a difficult problem boldly.,Grasp the nettle
To 'grass someone up' is to inform on them to the police.,Grass up
A late-night/early-morning work shift.,Graveyard shift
Very fast.,Greased lightning
An exclamation of surprise or delight. ,Great balls of fire
"The proverb 'great minds think alike' has a straightforward literal meaning. However, the usage is often ironic, that is, it is used when two unexceptional  minds have the same thought.",Great minds think alike
"The common, lower classes; the hoi polloi.",Great unwashed - the 
Jealousy.,Green eyed monster
The neck.,Gregory Peck
"Severe traffic congestion, where backed-up traffic blocks movement on intersecting roads and progress is completely halted.",Gridlock
Lose momentum and stop.,Grind to a halt
Grinning broadly.,Grinning like a Cheshire cat
All things are a potential source of profit or advantage.,Grist to the mill
