company,slogan
"SpeedFerries, route between Britain and France",Fight the pirates!
"World Gym, international chain of fitness clubs",You can't solve every problem with your head.
Seat Ibiza cars,"Seat Ibiza. Different rituals, same spirit."
Dither ineffectually.,Faff about
Gravity Hair Salon,Down to earth hair.
David Geffen School of Medicine at UCLA,Shaping the future.
"Herbal Essences, brand of shampoo and hair care products",Be everyone you are.
Legends Catering in Warrenton,Create a memorable event of which Legends are made.
Studio Brussel FM,Studio Brussel. Life is music.
Halifax Veterinary Hospital,Providing care for the life of your pet.
CA - Computer Associates,CA. Software that can think.
"Kangaroo Express, convenience stores at gas stations, USA",Get right at the Roo.
Hawaiian Springs artesian water,Harvested from the sky.
Foothills Veterinary Hospital,Caring for people by caring for pets.
Buick car brand,Isn't it time for a real car?
Disruptive HR,"Because in a disrupted world, we need something different."
"Sedgwick's Old Brown Sherry, South Africa","Sedgwick's. Rich, warm and satisfying."
Tylenol drug brand,Tylenol. The pain reliever hospitals use most.
"Padme Yoga Center, Sacramento",Yoga. Community. Flow.
Alterra Home Loans,Building wealth through homeownership.
Herts Web Design Company in England,Creativity simplified.
The first line of the opening voice-over in Star Trek,"Space, the final frontier"
"Metroline, bus company in London",Proudly serving London.
Adelphi Translation Company,For all your language requirements.
"IQ Business, management consulting",Our team. Your advantage.
Aberdeen Harbour,Centre of activity.
Newcastle Brown Ale brand,The One and Only.
"Good Neighbor Pharmacy, cooperative network",Locally owned. Locally operated. Locally loved.
Vineyard RV Park in California,"Where the road ends, the Vineyard begins."
Giraffe Hostel & Bar in Krakow,Go wild in Krakow.
Christopher Bean coffee,Stir your senses.
"Dougies Fish and Chips Shop in Harrogate, England","Once visitors find the place, they tend to return."
SunDesign Studios in Collingswood,Design. Ideas. Creativity.
DKZEE Cleaning Services in Port Elizabeth,Making your property sparkle.
"Promise, brand of margarine and soft buttery spreads",Less fat than any corn oil margarine.
Esquires Coffee Houses,Great coffee helps.
The Drunken Bundt Cakery Company,This Bundt's for you!
"Northwest Protective, offers guards, security officers & alarm response",Making it right every time.
Be on your best behaviour; be careful of your language. ,Ps and Qs - Mind your 
"Groovy Hair Salon in Soho, London",Very Groovy hair salon.
Hank's Ice Cream parlor in Houston,"You've tested the rest, now taste the best!"
"Merits, power and manual wheelchairs, home care beds",Merits. With you for life.
Chiropractic Health Clinic in Merritt Island,Discover what chiropractic can do for you.
By an individual's own efforts. ,Off his own bat
"Arena, sport swimwear, gear for swimming",What it takes to win.
"Noosa Civic, shopping centre on the Sunshine Coast, Queensland","Bigger, better, more."
The Greek Tourism Ministry /Greek National Tourism Organization,Greece. Beyond Words.
When troubles come they come together.,It never rains but it pours
"Wienerschnitzel, hot dog chain",World's most wanted wiener.
Master-McNeil naming company,Master-McNeil. Thought leaders in naming.
"Design Contest, online graphic design service",When you need results.
"To hang a bell around a cat's neck to provide a warning. Figuratively, the expression refers to any task that is difficult or impossible to achieve.",Bell the cat
To fall from position of high esteem. ,Fall from grace
Alcombe Veterinary Surgery,"We listen to you, we talk to the animals."
"The Plum Tomato Brick Oven Pizza Restaurant, Connecticut","The Plum Tomato. ""Food so good… it's addictive!"""
Dodge car brand,Dodge. Different.
Two things that are  very different from each other. ,Chalk and cheese
"Jacksons Food Stores, USA",How convenient is that?
Back In Balance Wellness Center in Bangor,"Healthy by choice, not by chance."
CycloVac central vacuums,Performance and innovation.
"Nurse Mates, nursing shoes, accessories and apparel",Live your life. Love your job.
Colgate Plax Antibacterial Mouthwash,For longer lasting fresh breath.
Old-fashioned; hackneyed.,Old hat
Coors beer,Note:
Knorr Quick instant soup,Tastes more like a slow soup.
"In
a superior or advantageous position.",Box-seat - in the 
"A disparaging term for an accountant, or anyone   excessively concerned with  statistical records or accounts. ",Bean counter
Tune Hotels,5-star sleeping experience at 1-star price.
YourVets,The affordable vets run by people who love pets.
"Manix, French condoms",The world's thinnest condom.
Kleenex facial tissues,Don't carry a cold in your pocket.
"Brightlingsea Motel, UK","Your stay, your way."
"Gize, Canadian luxury mineral water",Gize. More than water.
Hofstra University,We teach success.
Discern a meaning which isn't made obvious or explicit.,Read between the lines
"To be 'caught/got/held by the short hairs', or in the UK equivalent '... by the short and curlies', is to be trapped by an opponent in a position one can't easily escape from.",By the short hairs
"Seagull Book, American bookstores",Where you never pay full price for anything.
'Tommy Atkins' is a generic name for a  private in the British Army. ,Tommy Atkins
Someone who is basically good hearted but lacking social graces and respect for the law.,A diamond in the rough
"The proverb 'Honesty is the best policy' has a straightforward literal meaning, which encourages the populace to tell the turth and avoid crime.",Honesty is the best policy
LotusRain Naturopathic Clinic,Your partner in optimal health.
KingGee Workwear in Australia,Working hard never felt better.
Herradura Tequila,Never compromise.
Canadian Club brand,No Ordinary Whisky.
Wylie Flower & Gift Shop,"When you think of flowers, think of ours."
Macleans Toothpaste,Bring out the natural whiteness.
"Pearl Law Group, business-immigration law firms, California, USA",Pearl Law Group. Innovators in Business Immigration.
"The saying 'A rose by any other name would smell as sweet' means that what matters is what something is, not what it is called.",What's in a name? That which we call a rose by any other name would smell as sweet
Corfu Explore Car Hire,Your holiday in motion.
"Avalon Waterways, river cruise line","From here, it's another world."
"Be the first to attack a sinner. The implication in Jesus' teaching was that the members of the congregation were only in a position to condemn a sinner if they were without sin themselves - in other words, 'judge not lest you be judged'. ",Cast the first stone
Galaxy Milk Chocolate,Why have cotton when you can have silk?
One's visual memory or imagination.,In my minds eye
PhysioHealth & Sports Injury Clinic in Corrimal,"Strength, mobility, function, life."
Accept that a particular state of affairs is inevitable.,Get used to it
"Dana Lu, freelance graphic designer in Vancouver",Let's design something great together.
Baltimore Washington International Thurgood Marshall Airport,One great airport serving two great cities.
Stayfree Dry Max sanitary towel,Dry protection you can touch.
"'Jam tomorrow' is some pleasant event in the future, which is never likely to materialize.",Jam tomorrow
Macau International Airport,The new approach to China and the world.
Gloria Vanderbilt women's jeans,My bottoms are tops.
"Regular readers of this mailing list will know that it has often featured 'as x as y' similes. These provide a rich source of colour in the language and most English speakers will be familiar with hundreds of them (see this list). The term's usual format makes a link between some creature or object, say 'a dodo', and a well-known property of the same, that is, 'dead', and that applies to virtually all examples of this type of simile, e.g. 'as black as coal/pitch/the ace of spades', 'as white as a sheet/ghost/snow'. However this pattern breaks down when it comes to happiness. Larks and dogs with two tails fit the bill as creatures known to be happy but the three best-known 'happy' similes are 'as happy as a clam/a sandboy/Larry'. It is not now common knowledge as to why clams, sandboys or Larry should have been happy. For the phrases to have been adopted into the language in the first place such knowledge must have been widespread at some time. Let's see if we can resurrect it. ",As happy as...
Camel Cigarettes,For Digestion's Sake - Smoke Camels
"Bucherer, leading retailer for watches and jewellery in Switzerland",Bucherer. For life's most beautiful moments
"If something is working adequately well, leave it alone. ","Broke - if it ain't, don't fix it "
"Hello Gorgeous, face and beauty treatments in Cape Town",Look good. Feel good.
Quarryville Library,For fun. For learning. For everyone.
"Talk Play Grow, speech therapy for kids",Transforming children's speech and language.
"Extremely ugly, usually of people.",Plug-ugly
"Yum Bunnies Cakery in Belmont, Massachusetts",Where fun meets yum.
"Papillon French Bakery in Glendale, California",It's for everyone.
Shampoochie Dog Grooming in Adelaide,For a clean happy well groomed pet.
The Economist,Free enterprise with every issue.
The Red Caboose Motel,Sleep in real caboose!
'Ups-a-daisy' is an exclamation made when encouraging a child to get up after a fall or when lifting a child into the air.,Whoops-a-daisy
"Carte Noire, French coffee brand",Carte Noire. French for coffee.
"Wolff, machines and tools for the removal and installation of floor coverings",Wolff. Going beyond your limits.
"OnPoint WorldWide, nationwide limousine and sedan service, USA",A new era in executive transportation.
"Alison Page Marketing, consultancy in England",Your key to positive growth.
The Heart of Kent Hospice,"Care, comfort, compassion and hope."
Miller Beer,Good call
"'Famous last words' might be used ironically when a remark or prediction  is likely to be proved wrong by events. No one is suggesting that  death might be the result, merely a mild inconvenience. For example:",Famous last words (the ironic phrase) 
D.T.S.M. Driving Schools,Where learning is doing.
'Spick and span' is entirely clean - fresh or unused.,Spick and span
Exhausted. ,Tuckered out
Febreze Air Fresheners & Odor Eliminating Products,Room to breathe.
"Surfing (a.k.a. surfboarding) is, in its literal meaning, the riding of a wave while standing or lying on a surfboard. ",Van surfing
"Total Fitness Health and Wellness Centre, Gym in Langley, Canada",More than just a gym!
"Belgiovane Williams Mackay, creative agency",Ideas that get Australians talking.
"Leerdammer, Dutch cheese",Not as mild as you might think.
"Grand River Toys, online toy store, Canada",Cool toys for cool kids.
Grimshaw Trucking Company,Your gateway to the North.
Listerine Mouthwash,Kills germs that cause bad breath.
"Bunches, online florist",Flowers by post.
"It isn't surprising that some people get this phrase wrong and assume that it is 'wreck havoc'. After all 'havoc' and 'wreckage' usually belong together. However, the correct spelling is 'wreak havoc', which means, 'inflict or create damage'.",Wreak havoc 
Mythilis Beauty Salon in Houston,Stop time. Stay beautiful.
A collection of things. ,(The whole) kit and caboodle
'Behind every great man there's a great woman' has a straightforward literal meaning. The implication behind the saying is that the great woman is often ignored or taken for granted.,Behind every great man there's a great woman
"Bisleri, brand of bottled mountain water in India",The sweet taste of purity.
"Schmitten, brand of luxury dark chocolate in India",My Schmitten is only mine.
Heineken beer,How refreshing! How Heineken!
"United WebWorks, web design company in Savannah",Are you ready?
Active Wellness Chiropractic Center in California,Be well. Live well.
"Dolphin Limousine Service, South Florida",Your ultimate satisfaction is the Dolphin goal!
Listermint Mouthwash,We finish last.
Royal Pet Salon in East Northport,Where your pet is treated like royalty!
"Interactions that occur between black people, notably crime that is perpetrated by one black person against another.",Black-on-black
"A proverbial saying, often used in circumstances where it is thought that saying nothing is preferable to speaking. ",Silence is golden
"Manchester Airports Group, airport operator in the UK",We've got the nation covered!
A Bark and A Wag Grooming Salon,The best at affordable prices.
"Mid-City Gym, Manhattan, New York",Stop paying for it.
"Early Learning Centre, British chain of shops selling educational toys",For moments money can't buy.
London City Airport,Get closer.
Air Wick air fresheners,It's good to be home.
"Bradford University School of Management, England, undergraduate, postgraduate and doctoral degrees in management, including MBA",Seize the moment. Take up the challenge.
Subway Caters,Subway Caters. Fresh catering.
"Fiji, natural artesian bottled water",Fiji. Untouched by man.
Boise Therapeutic Massage Center,We're hands above the rest!
Arctic Zero low calorie ice cream,A protein shake in ice cream form.
"Bridgeport Hospital, private general medical and surgical hospital","A century ago, we made a commitment. We've kept it."
A fly in the ointment is a small but irritating flaw that spoils the whole. In the 20th century the expression has also come to be used to describe a small flaw that comes to light to spoil  an otherwise faultless plan.,A fly in the ointment
Artisans work for the wealthy but cannot afford their own produce.,The shoemaker always wears the worst shoes
Yoplait / Yop drinking yogurt,Yop. Skip & jump.
"Kiddicare, chain of baby shops, UK",Kiddicare. Baby specialist.
Paw Prints Pet Salon,Your pet deserves the best!
Gatorade Sports Drink,Life is a sport. Drink it up.
Bridgedale Socks,Enduring comfort.
An outcome that is almost assured; a certainty.,Dollars to doughnuts
The Detroit Bus Company,Creating fresh transit answers for Detroit.
A prohibited article. ,Forbidden fruit
Natural Balance Massage Therapy Centre in Ottawa,A natural approach to better health.
Philadelphia Spreadable cream cheese,Philly Spreadable. Heavenly.
Get to the precise point. Do or say something exactly right. ,Hit the nail on the head
The Milford Bank,Milford's Best Bank!
"Badoit, sparkling mineral water from France",Badoit. The petillant table water.
PNC Bank,The Thinking Behind the Money
"Australia, national tourist board / Tourism Australia",We can't wait to say G'day
Brand Vista,The brand alignment company.
"Awesome Blossom Beauty Salon in Orlando, FL",Blossom into a new you!
Jose Cuervo Especial,It makes you electric.
"Future Fitness, combined strength & fitness gym in Coventry",Health & strength.
Victoria Taxi in Canada,Local. Reliable. Safe.
"Dash Drive, car, van & truck hire in Cornwall",Vehicle hire made easy.
Shelter Hope Pet Shop,Shelter dogs are priceless.
"Valentine's Day, or as it is more formally known, Saint Valentine's Day, is celebrated on 14th February each year. The Valentines that are commemorated or two Italian saints, Valentin or Valentnus, who share the saint's day of 14th February. The date is now when lovers declare their love by sending each other gifts and romantic cards. There's nothing especially romantic about the lives of the two original Valentines, they were both martyred for their faith, in Ad 197 and AD 269 respectively.",Valentine's Day Poems and Sayings
"Applebee's, chain of restaurants, USA",Applebee's. Eatin' Good in the Neighborhood
"InterCity, bus operator in New Zealand",Bringing Kiwis together every day.
Galway Airport,Connecting you.
"FTD, network of flower shops",Flowers say it better. FTD says it best.
"Overly elaborate, swanky or pretentious - especially of dress. Also applied to people who act in that manner. ",Fancy pants
Remove an item's most attractive qualities. ,Gilt off the gingerbread
Happy Pet Spa in Sherwood Park,We have warm hearts for cold noses!
Cheestrings cheese snacks,A glass of milk in every one.
APX Sport Drink,Performance with purpose.
"Join a growing movement in support of someone or something, often in an opportunist way, when that movement is seen to have become successful.",Jump on the bandwagon
Words or sayings that are in common use; names that are familiar to everyone.,Household words
"RF Binder, public relations agency",Ideas matter. Words matter. Results matter.
"Jefferson County Public Library, Colorado",Discover the possibilities.
Nivea Deodorant,Beauty is confidence.
"The expression 'knick-knack' is commonly used to refer to a dainty little trinket or ornament. Previously, it also meant 'a neat trick or sleight of hand'.",Knick-knack
"Andersen Windows & Doors, USA",Andersen. Long live the home.
Lloyds TSB banking,Banking worth talking about
Husky tools,Husky. The toughest name in tools.
A drop in the bucket is a very small and insignificant proportion of the whole.,Drop in the bucket - A 
New Hampshire Natural Health Clinic,Your home for naturopathic medicine.
Shark Energy Drink,Bring out the beast.
"Sunseekers Sunbeds, chain of professional tanning centres, England",The responsible tanning people.
"To minister is to serve, or act as a subordinate agent. So a ministering angel is a kind-hearted person, providing help and comfort.",A ministering angel shall my sister be
BIC ballpoint pens,"Bic. Writes first time, every time."
Enlist in the army.,Join the colours
Koffee Kettle Motel in Agassiz,The only palm tree on Mount Woodside.
Zimmermann Company,So much more than print.
"A
race, usually a horse-race, in a direct line across countryside. ",Point to point
Corio Veterinary Clinic,Healthy pets are happy pets.
"Finger Lakes Business Service, call center & live answering services",Helping you stay in touch with the people you serve.
When a decisive point at which one's future course is determined.,Comes to the crunch - (When it) 
"To be 'as dead as a doornail' is to be utterly dead,  devoid of life (when applied to people, plants or animals) or finished with, unusable (when applied to inanimate objects). ",As dead as a doornail
"Namaqua brand, boxed wine, South Africa",The big name in boxed wine
"FutureBrand, brand consultancy",Think ahead. Stay ahead.
"Top Security, alarm monitoring & security services company in Ireland",The sign of security.
To use 'a sledgehammer to crack a nut' means to use disproportionate force or expense to overcome a minor problem. ,Using a sledgehammer to crack a nut
Freshpak tea,When you know what's good for you.
Copenhagen Airport,Scandinavia's hub.
Charleville cheese brand in Ireland,"Charleville, the home of Irish cheddar."
Tunnock's Caramel Wafers,Unspeakably Good.
Holiday Inn,Stay with someone you know.
Guinness Irish Stout,Now enjoy Guinness anywhere
"SecurityWorx, provides door security for public venues in Australia",Our security Worx... Does yours?
Plastic Surgery Texas in Fort Worth,Trust the hands of experience.
"Openly; without
any trickery.",Above board
"Apollo Acelere, tire range",Turn on TechnoTread.
"Advanced Security Systems, alarm company in USA",Service and response you can trust.
"Alamo Rent A Car, car rental agency in the United States",Alamo. Drive happy.
"Coupland's Bakeries, bakery chain in New Zealand",The home of good baking.
"University of Rochester, School of Medicine and Dentistry",Medicine of the highest order.
"Be the first to attack a sinner. The implication in Jesus' teaching was that the members of the congregation were only in a position to condemn a sinner if they were without sin themselves - in other words, 'judge not lest you be judged'. ",To cast the first stone
Kalamazoo Dog Training Club,We train you to train your dog!
Misheard lyric.,"The ants are my friends, they're blowing in the wind"
"
The King James Version of the Bible has been enormously influential in the development of the English language. It ranks with the complete works of Shakespeare and the Oxford English Dictionary as one of the cornerstones of the recorded language. After Shakespeare, the King James, or Authorized, Version of the Bible is the most common source of phrases in English. The King James in question was James I of England and James VI of Scotland. He didn't write the text of course, he merely authorized it, hence the name by which the book is best known in the UK (King James Version, or KJV, being more commonly used in the USA). 

",Biblical phrases
Athenos feta cheese,Approved by Yiayia.
To weep crocodile tears is to put on an insincere show of sorrow. ,Crocodile tears
Iams dog & cat nutrition brand,Good for Today. Good for Life.
Eastwood Veterinary Clinic,"Your pet, your vet and you."
"Infini Painting, contractors in Langley, BC",Excellence never stops.
Choice Taxis of Cornwall in Canada,Make the right Choice.
A literal meaning; that the truth is often found in comic utterances.,Many a true word is spoken in jest
Get to the point - leaving out unnecessary preamble. ,Cut to the chase
"Advil drugs, relief from different types of pain","For Better Relief, Advance to Advil!"
Durham University Business School,Makers of business leaders.
Johnnie Walker brand,"If you want to impress someone, put him on your Black list"
Colgate Total Toothpaste,Fights germs for 12 hours.
"City Cabs, taxi service in Peterborough","Fast, friendly, secure."
"Princess Cruises, British-American cruise line, based in the United States",Your dream holiday is now closer than you think.
Bennett Truck Rentals,We keep you moving.
"Harrah's Casinos, chain of casinos, United States","Harrah's, oh yeah!"
Embracing all classes or categories without exception.,Across the board
"Mater, chain of hospitals in Australia",Exceptional people. Exceptional care.
The act of greeting (or sometimes of farewell) by making a kissing gesture into the air while brushing cheeks - or in a near miss. ,Air kiss
Speedo Swimwear,Speedo. Born in the water.
"To be posh is to be elegant, swanky, rich. ","POSH - Port out, starboard home"
Continental tires,Continental. The future in motion.
"To
give 'short shrift' is to give little and unsympathetic attention to. ",Short shrift
"EHS Pilates, classes & instructor training in San Francisco",Energy. Health. Strength.
"Pet Depot, chain of stores in Alabama",If you love pets... You'll love us!
Perry Moving & Storage,The best move you will ever make.
Hitachi Consulting,We make it happen. Better.
Northallerton Acupuncture Clinic,Restoring balance.
A faultless image.,Picture-perfect
"Gryphon Fitness Studio in Placentia, CA",Making fitness fun!
"Lavazza, Italian brand of coffee and coffee machines",The coffee Italians love best.
Very merry.,As merry as the day is long
"Pace Suburban Bus, public transportation agency of the Chicago suburbs",Connecting communities.
"Nexen tires, South Korea",Nexen. Next century tire.
Meggle butter,Meggle. I am a Gourmeggle.
Health & Fitness Gym in Olney,One life. Be fit for it.
Window Genie,We clean windows and a whole lot more!
M&S Credit Card,For more of the things you love.
"Buy Buy Baby, chain of baby shops in the Unites States",Helping you with those first few steps.
"A toy consisting of a box containing a figure with a spring, which leaps up when the lid is raised. ",Jack in the box
Living well; fed by abundant crops. ,(The) fat of the land
"H-E-B grocery stores, supermarket chain in Texas and Mexico",Here everything's better.
"The Car Rental Place, car rental agency in Toronto","If service counts, count on us!"
An aggressive attack on prey by a group of sharks or other predators. The resulting boiling and bloody sea results in the sharks wildly attacking any creature nearby - even their own kind.,Feeding frenzy
"Lakeside shopping centre, England",Lakeside. Feel-good shopping.
"Chris Braithwaite, homeopath from England",The natural health choice.
Someone might be said not to know shit from Shinola if they display poor judgment or knowledge. ,Don't know **** from Shinola
"Britain Security Ltd, guard company in Birmingham",The ultimate choice for your security needs.
Crete Carrier,There are no shortcuts.
"Giant, grocery stores and hypermarkets in Malaysia",Giant. Wah! So fresh for less!
Haagen Dazs ice cream shops,The longer lasting pleasure.
'An accident waiting to happen' is a person or thing likely to cause trouble or harm because of ongoing carelessness or neglect.,An accident waiting to happen
Holiday Inn Express,Stay smart.
To be lantern-jawed is to have a prominent and angular jaw.,Lantern-jawed
Bosch power tools,Bosch. Best built guaranteed.
Busch Beer,Busch Beer. Head for the mountains.
"Nabob coffee, Canada",Better beans. Better coffee. Better planet.
Strawberry Field Catering Ltd,First class catering.
Dishonest or treacherous behaviour; also violent conduct.,Foul play
Dove Desire chocolate bar,Have everything you.
South Bay Veterinary Hospital in Chula Vista,We personalize pet care.
The Austrian National Tourist Office Vienna,Austria. At last!
Family Dog Training in Hudson,Because they are part of our families.
"X Media Solutions, web designing company in Chennai","We make up the news, so you don't have to!"
"FCI, Factors Chain International, network of factoring companies",FCI. Factoring spreading its wings.
Hurry up; make every possible effort.,Pull your finger out
Citibank,The whole world in one bank.
"Top Security, alarm monitoring & security services company in Ireland",Your security… Sorted.
"V8, vegetable juice brand",Drink Your Vegetables
AMP Energy,"Energy you need, flavors you crave."
Listerine Mouthwash,There's no deeper clean than Listerine.
"'Happily ever after' or 'Happy ever after' are typically  used as a formulaic  ending to a fairy tale or children's story, or in romantic novels to describe wedded bliss. ",Happily ever after
Dunlop tires,The arrival is as important as the journey.
"The Times of India, newspaper, Delhi",The joy of continuous celebration
"Gold's Gym, international chain of fitness centers",Know your own strength.
"A series of three consecutive successes, in sport or some other area of activity.",Hat trick
Smart but informal clothing. Conforming to a dress code but not uncomfortably so.,Smart casual
"MOA, Mall of America, shopping mall in Bloomington, Minnesota",Mall of America. More ways to be you.
Glendale Clinic,Better health naturally.
"Royal Oak, shopping mall in Auckland, New Zealand",Royal Oak. Shopping the way you like it!
"AAT Kings, Australia, New Zealand escorted holiday tour operator",Best under the Australian sky.
"Honeywell, brand of home security systems and home automation",Honeywell. Smart house. Safe home.
Beaver Creek,Not exactly roughing it.
"Apollo Amazer XL, tire range",Tomorrow's radials yesterday's price.
Saint Mary's Hospital in Waterbury,Exceptional care. Every patient. Every day.
HRP Solutions in Waterford,Excellence through people.
Olema Campground,A fun campground for an outdoor adventure.
Styllautus web design studio,Design. Innovate. Create.
Ironlak Spray Paint,Ironlak. Make your mark.
"1-800-Dentist, free service in United States for finding dentist based on your dental and payment needs","Seriously, it's time."
"A picture tells a story just as well as, if not better than, a lot of written words.",A picture is worth a thousand words
"The
 lavatory.",The Crapper
'Two peas in a pod' are two identical items or people.,Two peas in a pod
Vineyard Pilates & Bodywork,Quality you can feel.
"Sensodyne, brand of toothpaste for sensitive teeth",#1 dentist recommended brand for sensitive teeth.
First Impression Labels in Pinetown,Labels that enhance your image.
"McCord Hospital, South Africa","Bringing care, hope and excellence."
"MiniME, Kids Store in Dallas",Super cool stuff for kids.
"Mothercare stores, products for expectant mothers and children",Because little things matter.
Gerber baby food brand,Shouldn't your baby be a Gerber baby?
"Saraj Bakery, European rustic artisan bakery and pastry in New Minas","Crafted with tradition, baked with devotion."
"To throw a spanner in the works is to, deliberately or otherwise, cause disruption; to interfere with the smooth running of something. ",Put a spanner in the works
"Very
old.",Old as Methuselah
"ArtsKey, web design studio in Toronto",Creativity never end.
Run away.,Cut and run
Barco Uniforms,Love what you wear.
"Rowdy, boisterous, full of youthful energy. ",P*** and vinegar - Full of 
The British Library,Explore the world's knowledge.
Pediatric Dentistry North in Indianapolis,A healthy smile begins with a child.
"Dixon's Car and Truck Rental, Canada",Your local rental company.
Oliver's Bar & Grill,Where food meets sports.
The expression 'born on the wrong side of the blanket' is a euphemism for being born out of wedlock. ,The wrong side of the blanket
Beefeater London Dry Gin,Live a little
"Vizion Online, professional web design company in London",The future of business.
"Balayage Hair Studio in Subiaco, Australia",As individual as you are.
"MarketResearch.com, market research reports and industry analysis",Your single source for buying market research.
Teesside Hospice in Linthorpe,It's the life we put into each day that counts.
"ETA Bus Tours, Vancouver Island",Let us take you away!
"Eastbound Bar and Grill in Lakeside, California","It’s not just a bar, it’s a destination!"
"Nokian Tyres, Finland",Trust the natives.
"SubhAAkritee, interior design and decorating company in Kolkata",The design people.
"Jerry's Express Car Wash in Fort Worth, Texas",Fast. Clean. Dry.
United Printing in Charlotte,Personal service. Professional results.
To be 'out of sorts' is to be mildly unwell; not in one's usual health or state of mind. ,Out of sorts
Brim decaffeinated coffee,Fill it to the rim with Brim.
Massage therapy clinic in Fort Wayne,We've got your back.
"Olive Garden, Italian restaurants, USA","When you're here, you're Family"
Glenda Browne Speech Pathology,Investing in our kids' future.
"Badoit, sparkling mineral water from France",The lighter bubble.
"Vogue Hair Studio in Cape Coral, FL","If you look good, we look good!"
"Joy Condoms, Brazil",The safest love.
To turn out well or successfully.,Turn up trumps
Carl F. Bucherer brand,Carl F. Bucherer. Swiss tradition time
'Catch-22' is a paradox in which the attempt to escape makes escape impossible. ,Catch 22
The established government or authority.,The powers that be
Pacific Paradise Motel in Queensland,Best value on the Sunshine Coast.
Various lines of Axe deodorants,Axe Apollo. Nothing beats an astronaut.
"The Square, shopping centre in Tallaght, Ireland",The Square Tallaght. It's all about you.
Excellent - the absolute apex. In other contexts the word bollocks (meaning testicles) has a negative connotation; for example:,Dog's b*******
Restrain one's ardour; lower one's ambitions.,Pull in your horns
"I have been watching the 30th cricket Test series between England and India and  musing about the oddly named field positions 'Silly mid-on', 'Silly point' etc. I've watched enough cricket to know that these are positions close to the batsman, but wondered why they are labelled 'silly' and whether there might be  an archaic 'near to' meaning of the word. As it turns out, there isn't. 'Silly' in this context means what we normally mean by the word, that is, 'foolish or empty-headed'. Anyone who has been hit on the knee (or elsewhere) by a cricket ball will understand that standing about six feet away from the batsman is just plain silly.",Silly season
Hershey's Milk Chocolate,"Hershey's is mine, yours, our chocolate."
"Pentel brand, automatic pencils, leads, and other writing instruments",Pentel. The Pentelligent Choice.
The Acupuncture Center of Richmond,Ageless wisdom for natural healing.
Marbles Credit Cards,Use your Marbles.
"Cold Rock Ice Creamery, chain of ice cream parlors in Australia",Choose it. Mix it. Smash it. Love it.
Nonsense. ,Load of codswallop
"The so-called law is usually expressed as 'If anything can go wrong, it will'.",Murphy's Law
"Almira’s Pastry and Wedding Cake Shop in Hammond, Indiana",Fresh. Not frozen.
"The apple of one's eye originally referred to the central aperture of the eye. Figuratively it is something, or more usually someone, cherished above others. ",The apple of my eye
"Savage Brands, agency in Houston",Smart. Fresh. Human.
"An exclamation, on drawing others attention to something. Used especially to to announce things that are considered startling or important. The phrase is often written with an exclamation mark. ",Lo and behold
Olau-Line,We give you a good crossing.
Said of a woman who determines to gain the affections of a man.,Set one's cap at
"Taxiwiz, taxi fare finder",Know the fare before you go!
Bastyr University Clinic in San Diego,Your partner in natural health care.
UK Railtours,Britain's favourite rail tour operator!
XS Energy Drink,Premium energy. Explosive taste.
Vip Taxis in Dublin,Safety comes first.
"Madeleine Harvey, massage therapist in Harrogate",Well being for every body.
"Fall to the ground, wounded or dead.",Bite the dust
LeCuyer & Amato Dentistry in Seattle,Excellence defined.
Nescafe Taster's Choice coffee,Every moment has its flavor.
Westwood Vets,A caring way every day.
Lotus Fitness Studio,Change your mind. Change your body. Change your life.
Barclaycard,Get more out of plastic.
Galaxy ice cream,"Think chocolate, think chilled, think Galaxy ice cream."
Colgate Total Toothpaste,Cleans more than just teeth.
"Fitness Force, gym in Keswick, Ontario",Have fun. Be fit!
To 'suspend disbelief' is to  temporarily accept as believable of events or characters that would ordinarily be seen as incredible. This is usually to allow an audience to appreciate works of literature or drama that are exploring unusual ideas. ,Suspension of disbelief
"With most phrases and sayings the meaning is well understood but the origin is uncertain. With this one the main interest is the doubt about the meaning. So, this time, we'll have the origin first. ",(Ne'er) cast a clout till May be out
Close interrogation.,The third degree
"The proverbial saying 'All's fair in love and war' expresses the idea that, like war, where any strategy is accepted, affairs of the heart are also  no-holds-barred contests.",All's fair in love and war
Oberoi Hotels & Resorts,Luxury. Redefined.
"A feeling of pessimism and despondency, often with regard to business or political prospects. ",Gloom and doom
"Xtra Mart convenience stores, United States",Wherever the road takes you...
Lipton tea,Be more tea.
Jacksons of Piccadilly tea,Purveyors of quality teas since the 18th century.
Golden Paw Dog Grooming,We love making tails wag and folks smile!
YHA Youth Hostels and Budget Accommodation,You'll want to stay.
"Fisher-Price toy stores, USA",Fisher-Price. A fun place to discover.
One's kith and kin are one's friends and relations. ,Kith and kin
"The proverbial saying 'power corrupts; absolute power corrupts absolutely'  conveys the opinion that, as a person's power increases, their moral sense diminishes.",Absolute power corrupts absolutely
Xyience,Great taste. Zero calories.
Grand Hotel Bonavia in Croatia,Five-star quality in a hotel of four stars.
This proverb express the idea that a person's actions are a better indication of their character than what he or she says.,Actions speak louder than words
"Havoline / Texaco, brand of motor oils",Havoline. Add More Life to Your Car.
Kava coffee,Less bitter makes Kava lots better.
Dairylea processed cheese products,Dairylea. A good source of calcium.
"Yellow water taxis, Sydney harbour",Australia's most experienced water taxi operator.
"California Sun, tanning salon &spray tan in California",See it. Live it. Love it.
